name,dedication
Луковецкая библиотека им. Ю. Т. Мамонтова,им. Ю. Т. Мамонтова
Черновская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 8 для детей и юношества им. А. П. Гайдара г. Кирова,им. А. П. Гайдара
Калужская городская библиотека – филиал № 8 им. Есенина,им. С. А. Есенина
Городская центральная библиотека им. Г. Н. Айги,им. Г. Н. Айги
Библиотека им. С. А. Есенина г. Шахты,им. С. А. Есенина
Рудничная городская библиотека им. Л. А. Сафронова,им. Л. А. Сафронова
Межпоселенческая центральная библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Городская библиотека № 1 им. А. Н. Чепурова,им. А. Н. Чепурова
Центральная городская библиотека им. Н. К. Крупской г. Дзержинска,им. Н. К. Крупской
Библиотека № 2 им. А. В. Кольцова,им. А. В. Кольцова
Центральная библиотека им. А. С. Пушкина г. Старый Оскол,им. А. С. Пушкина
Библиотека № 6 им. А. М. Колчанова,им. А. М. Колчанова
Мезенская центральная библиотека им. К. С. Бадигина,им. К. С. Бадигина
Центральная библиотека им. Н. К. Крупской г. Самары,им. Н. К. Крупской
Центральная библиотека им. В. А. Пазухина г. Кинешмы,им. В. А. Пазухина
Центральная городская библиотека «Smart-библиотека им. Н. Д. Неустроева»,им. Н. Д. Неустроева
Шестаковская сельская библиотека им. А. П. Батуева,им. А. П. Батуева
Карпогорская центральная библиотека им. Ф. А. Абрамова,им. Ф. А. Абрамова
Центральная городская библиотека им. А. И. Куприна,им. А. И. Куприна
Центральная городская библиотека им. П. Л. Проскурина,им. П. Л. Проскурина
Центральная библиотека № 15 им. В. О. Ключевского,им. В. О. Ключевского
"Городская библиотека им. В. С. Топилина, филиал № 8",им. В. С. Топилина
Детская библиотека им. А. Чехова,им. А. П. Чехова
Центральная городская библиотека им. А. Д. Старцева,им. А. Д. Старцева
Модельная библиотека № 32 им. Г. Н. Троепольского,им. Г. Н. Троепольского
