UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
19b4bd23-e044-4400-b41f-4591e809b755,Book 1,Ister,char-offset:150612,PLACE,http://pleiades.stoa.org/places/226577,45.16291,29.647293,river,VERIFIED,,,,
e027939b-a309-4712-a5a7-dd6f2cf7d4a5,Book 15,India,char-offset:1898,PLACE,http://sws.geonames.org/146588,,,,UNVERIFIED,,,,
ebd86f23-7688-45c1-8542-ac64cfd2238d,Book 10,Eretria,char-offset:6906,PLACE,http://sws.geonames.org/8133902,,,,UNVERIFIED,,,,
588e4b2b-8cea-4a80-bf05-23e915f9ceb0,Book 8,Maliac Gulf,char-offset:7307,PLACE,,,,,UNVERIFIED,,,,
cd653f31-612d-4221-8a76-880d9d84ad49,Book 1,Ethiopians,char-offset:84989,PLACE,http://pleiades.stoa.org/places/39274,14.125005,38.721522,unknown,VERIFIED,,,,
dfd9768f-0816-4d1d-8a13-4d00475b77a9,Book 2,Carmania,char-offset:51903,PLACE,http://pleiades.stoa.org/places/29517,27.5,57.5,region,VERIFIED,,,,
e9f60d51-2b35-4213-9962-39459c5e7e95,Book 4,Ambiani,char-offset:48041,PLACE,http://pleiades.stoa.org/places/108740,49.5,1.5,unknown,VERIFIED,,,,
48f4955d-9aea-4f18-94d0-3cc31e674ef8,Book 15,Nile,char-offset:58883,PLACE,http://sws.geonames.org/2866588,,,,UNVERIFIED,,,,
9f55d53b-70ad-48d4-9eea-29370e914d11,Book 5,Rubicon,char-offset:21821,PLACE,http://pleiades.stoa.org/places/393484,44.16816,12.44327,river,VERIFIED,,,,
c996d2a0-41d7-4818-9473-86cd19484975,Book 2,Cos,char-offset:153829,PLACE,http://pleiades.stoa.org/places/599581,36.844,27.17,island,VERIFIED,,,,
aa1c6d27-404b-4155-8ab8-f2a98b21a17b,Book 6,Catana,char-offset:27445,PLACE,http://pleiades.stoa.org/places/462270,37.5024825,15.0878345,settlement,VERIFIED,,,,
325cf57b-a9a4-449b-a0e8-bbc9f2f51d90,Book 15,India,char-offset:21722,PLACE,http://sws.geonames.org/146588,,,,UNVERIFIED,,,,
7b0bb671-488a-4d7d-aa03-ad1eceb76a67,Book 2,Strait,char-offset:146631,PLACE,http://pleiades.stoa.org/places/256198,35.971667,-5.485833,"river,water-open",VERIFIED,,,,
e2d6261b-88b9-447a-9b43-4485d1fba1d9,Book 4,Rhone,char-offset:40220,PLACE,http://pleiades.stoa.org/places/148168,43.33167,4.84861,river,VERIFIED,,,,
d1148754-69f7-4239-9eb5-f48b410b8752,Book 1,Lemnos,char-offset:117979,PLACE,http://pleiades.stoa.org/places/550693,39.916667,25.25,island,VERIFIED,,,,
